energy_kev phabs_nh0.101_model_model phabs_nh0.101_model_y
4.46841 0.9948195219 0.9948195219
4.499415 0.9949225783 0.9949225783
4.530635 0.9950236082 0.9950236082
4.56207 0.9951226711 0.9951226711
4.59372 0.9952198267 0.9952198267
4.625595 0.9953150749 0.9953150749
4.657695 0.9954084754 0.9954084754
4.69001 0.9955000877 0.9955000877
4.72255 0.9955898523 0.9955898523
4.75532 0.9956778884 0.9956778884
4.788315 0.9957641959 0.9957641959
4.82154 0.9958488345 0.9958488345
4.854995 0.9959318042 0.9959318042
4.88868 0.9960131049 0.9960131049
4.9226 0.9960928559 0.9960928559
4.95676 0.9961710572 0.9961710572
4.991155 0.9962477088 0.9962477088
5.025785 0.9963228703 0.9963228703
5.060655 0.9963965416 0.9963965416
5.09577 0.9964687824 0.9964687824
5.13113 0.9965395927 0.9965395927
5.16673 0.9966090322 0.9966090322
5.20258 0.9966771007 0.9966771007
5.23868 0.9967437983 0.9967437983
5.27503 0.9968091846 0.9968091846
5.31163 0.9968733191 0.9968733191
5.348485 0.996936202 0.996936202
5.3856 0.9969977736 0.9969977736
5.422965 0.9970582128 0.9970582128
5.46059 0.9971174002 0.9971174002
5.49848 0.9971754551 0.9971754551
5.536635 0.9972323775 0.9972323775
5.575055 0.9972881079 0.9972881079
5.613735 0.9973427653 0.9973427653
5.652685 0.9973963499 0.9973963499
5.69191 0.9974489212 0.9974489212
5.731405 0.9975004196 0.9975004196
5.77117 0.9975508451 0.9975508451
5.811215 0.997600317 0.997600317
5.85154 0.9976488352 0.9976488352
5.89214 0.9976963401 0.9976963401
5.93302 0.9977429509 0.9977429509
5.974185 0.9977876544 0.9977876544
6.01564 0.9978148937 0.9978148937
6.05738 0.9978590608 0.9978590608
6.09941 0.9979023933 0.9979023933
6.141735 0.9979448318 0.9979448318
6.18435 0.9979864359 0.9979864359
6.22726 0.9980272055 0.9980272055
6.27047 0.9980672002 0.9980672002
6.313975 0.9981063604 0.9981063604
6.357785 0.9981447458 0.9981447458
6.4019 0.9981823564 0.9981823564
6.44632 0.9982192516 0.9982192516
6.49105 0.998255372 0.998255372
6.53609 0.9982908368 0.9982908368
6.58144 0.9983255267 0.9983255267
6.627105 0.998359561 0.998359561
6.67309 0.9983929396 0.9983929396
6.71939 0.9984256029 0.9984256029
6.766015 0.9984576702 0.9984576702
6.812965 0.9984890223 0.9984890223
6.860235 0.9985198379 0.9985198379
6.907835 0.9985499382 0.9985499382
6.955765 0.9985795021 0.9985795021
7.004025 0.99860847 0.99860847
7.052625 0.9986368418 0.9986368418
7.101565 0.9984676838 0.9984676838
7.15084 0.9971487522 0.9971487522
7.200455 0.9972006083 0.9972006083
7.250415 0.9972516298 0.9972516298
7.300725 0.9973016977 0.9973016977
7.351385 0.9973509908 0.9973509908
7.40239 0.9973993897 0.9973993897
7.45375 0.9974469543 0.9974469543
7.50547 0.9974936843 0.9974936843
7.55755 0.9975396395 0.9975396395
7.60999 0.9975848198 0.9975848198
7.66279 0.9976291656 0.9976291656
7.71596 0.9976718426 0.9976718426
7.7695 0.9977131486 0.9977131486
7.82341 0.9977552891 0.9977552891
7.877695 0.9977967143 0.9977967143
7.932355 0.9978374243 0.9978374243
7.987395 0.997877419 0.997877419
8.042815 0.9979167581 0.9979167581
8.09862 0.9979553819 0.9979553819
8.154815 0.9979932904 0.9979932904
8.2114 0.9980306029 0.9980306029
8.268375 0.9980672002 0.9980672002
8.325745 0.9980937839 0.9980937839
8.383515 0.9980888963 0.9980888963
8.441685 0.9981244802 0.9981244802
8.500255 0.9981594682 0.9981594682
8.559235 0.9981938004 0.9981938004
8.618625 0.9982275367 0.9982275367
