energy_kev tbabs_nh0.101_model_model tbabs_nh0.101_model_y
0.73005 0.6944116147 0.6944116147
0.73515 0.7006408771 0.7006408771
0.74025 0.7057858593 0.7057858593
0.7454 0.7107915081 0.7107915081
0.75055 0.7154640804 0.7154640804
0.75575 0.7200613545 0.7200613545
0.761 0.7246166369 0.7246166369
0.76625 0.7290841347 0.7290841347
0.7716 0.7335492919 0.7335492919
0.77695 0.7379289137 0.7379289137
0.7823 0.7422226089 0.7422226089
0.78775 0.7465110413 0.7465110413
0.79325 0.7507366522 0.7507366522
0.79875 0.7547577782 0.7547577782
0.8043 0.7586636181 0.7586636181
0.8099 0.7625621195 0.7625621195
0.8155 0.7663853966 0.7663853966
0.82115 0.7701677269 0.7701677269
0.82685 0.7739095484 0.7739095484
0.8326 0.7776096346 0.7776096346
0.83835 0.781237597 0.781237597
0.84415 0.7848236411 0.7848236411
0.85005 0.7883994102 0.7883994102
0.85595 0.7904069353 0.7904069353
0.86185 0.7923475303 0.7923475303
0.8678 0.7854980339 0.7854980339
0.87385 0.7783945726 0.7783945726
0.87995 0.7815122655 0.7815122655
0.88605 0.7849901001 0.7849901001
0.8922 0.7884283568 0.7884283568
0.8984 0.791827511 0.791827511
0.9046 0.7951604096 0.7951604096
0.91085 0.798454212 0.798454212
0.9172 0.8017346853 0.8017346853
0.9236 0.8049754235 0.8049754235
0.93 0.8081514572 0.8081514572
0.93645 0.8112879964 0.8112879964
0.94295 0.8143812366 0.8143812366
0.9495 0.8174349043 0.8174349043
0.9561 0.8204539594 0.8204539594
0.9627 0.8234115625 0.8234115625
0.96935 0.8263305728 0.8263305728
0.9761 0.8292325875 0.8292325875
0.9829 0.8320957562 0.8320957562
0.9897 0.8348995168 0.8348995168
0.99655 0.8376650023 0.8376650023
1.00345 0.8403928204 0.8403928204
1.0104 0.8430826056 0.8430826056
1.01745 0.8457534904 0.8457534904
1.0245 0.8483108357 0.8483108357
1.0316 0.850830341 0.850830341
1.0388 0.853388752 0.853388752
1.046 0.85589233 0.85589233
1.05325 0.8583590474 0.8583590474
1.06055 0.8607895569 0.8607895569
1.0679 0.8631836851 0.8631836851
1.0753 0.8654066829 0.8654066829
1.08275 0.8675946724 0.8675946724
1.0903 0.869899509 0.869899509
1.09785 0.8721542273 0.8721542273
1.10545 0.8743736359 0.8743736359
1.11315 0.8765730677 0.8765730677
1.12085 0.8787239006 0.8787239006
1.1286 0.8808407407 0.8808407407
1.13645 0.8829372948 0.8829372948
1.14435 0.885000256 0.885000256
1.1523 0.887029648 0.887029648
1.1603 0.889026152 0.889026152
1.16835 0.8909898146 0.8909898146
1.17645 0.8929213113 0.8929213113
1.1846 0.8948207173 0.8948207173
1.19285 0.8966998242 0.8966998242
1.20115 0.8985473781 0.8985473781
1.20945 0.9003528607 0.9003528607
1.2178 0.902127793 0.902127793
1.22625 0.9038829624 0.9038829624
1.2348 0.9056180441 0.9056180441
1.2434 0.9073230761 0.9073230761
1.252 0.9089887697 0.9089887697
1.26065 0.9106254413 0.9106254413
1.2694 0.9122427414 0.9122427414
1.2782 0.9138316301 0.9138316301
1.28705 0.915392293 0.915392293
1.296 0.9169337708 0.9169337708
1.305 0.9184476704 0.9184476704
1.31405 0.9176679742 0.9176679742
1.3232 0.9169063977 0.9169063977
1.3324 0.9184095551 0.9184095551
1.34165 0.9198856012 0.9198856012
1.35095 0.9213351616 0.9213351616
1.3603 0.9227584547 0.9227584547
1.36975 0.924163343 0.924163343
1.37925 0.9255426352 0.9255426352
1.3888 0.926896568 0.926896568
1.39845 0.9282324937 0.9282324937
1.40815 0.9295437409 0.9295437409
1.4179 0.9308305537 0.9308305537
1.42775 0.9320998048 0.9320998048
1.43765 0.9333453122 0.9333453122
1.44765 0.9345733259 0.9345733259
1.4577 0.9357782873 0.9357782873
1.4678 0.9369601546 0.9369601546
1.478 0.9381253531 0.9381253531
1.48825 0.9392681545 0.9392681545
1.4986 0.9403944193 0.9403944193
1.509 0.9414989777 0.9414989777
1.51945 0.9425821065 0.9425821065
1.53 0.9436492813 0.9436492813
1.5406 0.9446957111 0.9446957111
1.5513 0.9457263509 0.9457263509
1.5621 0.9465763167 0.9465763167
1.5729 0.9474038273 0.9474038273
1.5838 0.9483838894 0.9483838894
1.5948 0.9493490429 0.9493490429
1.60585 0.9502949521 0.9502949521
1.617 0.9512261824 0.9512261824
1.62825 0.9521428142 0.9521428142
1.63955 0.9530410499 0.9530410499
1.6509 0.9539211608 0.9539211608
1.66235 0.9547873092 0.9547873092
1.6739 0.9556395855 0.9556395855
1.6855 0.9564745752 0.9564745752
1.6972 0.9572959651 0.9572959651
1.709 0.958104039 0.958104039
1.72085 0.9588954738 0.9588954738
1.7328 0.9596738779 0.9596738779
1.7448 0.9604362663 0.9604362663
1.7569 0.9611859262 0.9611859262
1.7691 0.9619231252 0.9619231252
1.78135 0.9626449516 0.9626449516
1.7937 0.9633546198 0.9633546198
1.80615 0.9640522461 0.9640522461
1.8187 0.9647379507 0.9647379507
1.83135 0.965411857 0.965411857
1.84405 0.9648661334 0.9648661334
1.8568 0.9643254715 0.9643254715
1.8697 0.964996464 0.964996464
1.8827 0.965656074 0.965656074
1.89575 0.9663018838 0.9663018838
1.9089 0.9669366162 0.9669366162
